"Рабочий язык конференции (Language of the conference):";"Название работы (Title of Paper)";"Фамилия автора (Author`s Surname):";"Имя автора (Author`s Name):";"Отчество автора (Author`s Second name):";"Дата рождения автора(birthdate):";"Город автора (City):";"Страна автора (Country):";"Полное название учебного заведения/организации автора (Full name of the institution which the Author represent):";"Сокращённое название учебного заведения/организации автора (Abbreviation of the institution, which the Author represent):";"Статус автора (Status of the author):";"Факультет автора (faculty of the Author):";"Курс автора (Course):";"E-mail автора:";"Телефон автора (Telephone №):";"Фамилия соавтора (Surname of the Second Author):";"Имя соавтора (Name of the Second Author):";"Отчество соавтора (Second name of the Second Author):";"Дата рождения соавтора (birtdate):";"Город соавтора (City):";"Страна соавтора (Country):";"Полное название учебного заведения/организации соавтора (Full name of the institution, which the Second author represent):";"Сокращённое название учебного заведения/организации соавтора (Abbreviation of the institution, which the Second author represent):";"Статус соавтора (Status of the Second author):";"Факультет соавтора (faculty of the Second author):";"Курс соавтора (Course):";"E-mail соавтора:";"Телефон соавтора (Telephone №):";"Фамилия 1-го научного руководителя (Surname of the 1st Supervisor):";"Имя 1-го научного руководителя (Name of the 1st Supervisor):";"Отчество 1-го научного руководителя (Second name of the 1st Supervisor):";"Учёная степень 1-го научного руководителя (Scientific degree of the 1st Supervisor):";"Учёное звание 1-го научного руководителя (Academic rank of the 1st Supervisor)";"Должность 1-го научного руководителя (Position of the 1st Supervisor):";"Полное название учебного заведения/организации 1-го научного руководителя (Full name of the 1st Supervisor institution):";"Название кафедры / структурного подразделения 1-го научного руководителя (Department):";"Город 1-го научного руководителя (City):";"E-mail 1-го научного руководителя (E-mail  of the 1st Supervisor):";"Телефон 1-го научного руководителя (Telephone № of the 1st Supervisor):";"Фамилия 2-го научного руководителя (Surname of the 2nd Supervisor):";"Имя 2-го научного руководителя (Name of the 2nd Supervisor):";"Отчество 2-го научного руководителя (Second name of the 2nd Supervisor):";"Учёная степень 2-го научного руководителя (Scientific degree of the 2nd Supervisor):";"Учёное звание 2-го научного руководителя (Academic rank of the 2nd Supervisor)";"Должность 2-го научного руководителя (Position of the 2nd Supervisor):";"Полное название учебного заведения/организации 2-го научного руководителя (Full name of the 2nd Supervisor institution):";"Название кафедры / структурного подразделения 2-го научного руководителя (Department):";"Город 2-го научного руководителя (City):";"E-mail 2-го научного руководителя (E-mail  of the 2nd Supervisor):";"Телефон 2-го научного руководителя (Telephone № of the 2nd Supervisor):";"Секция (Section):";"Форма участия (The form of participation):";"Cодержание доклада (Content report):"
"русский";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Главный научный сотрудник (Chief Researcher)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"Метельский";"Иван";"Олегович";"1995-12-19";"Минск";"Республика Беларусь";"Белорусский государственный университет информатики и радиоэлектроники";"БГУИР";"Студент (Student)";"";"4";"metla@mail.ru";"+375294466943";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор военных наук";"Professor";"Ведущий специалист";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор экономических наук";"Профессор";"Профессор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"русский";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Преподаватель (Lecturer)";"Прикладжного программирования";"2";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Старший преподаватель (Senior Lecturer)";"Прикладжного программирования";"4";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор социологических наук";"Доцент";"Директор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат военных наук";"Ведущий научный сотрудник";"Проректор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Студент (Student)";"Прикладжного программирования";"5";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Ассистент (Assistant)";"Прикладжного программирования";"2";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор психологических наук";"Профессор";"Проректор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат военных наук";"Associate Professor";"Главный научный сотрудник";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Интерн (Intern)";"Прикладжного программирования";"2";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Магистрант (Masster)";"Прикладжного программирования";"6";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат химических наук";"Academician";"Врач";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат педагогических наук";"Chief Researcher";"Ведущий научный сотрудник";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"ник";"ник";"ник";"2017-01-03";"ник";"ник";"ник";"ник";"Интерн (Intern)";"ник";"3";"nik";"4534453454354";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Аспирант (Postgraduate)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор экономических наук";"Профессор";"Профессор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат социологических наук";"Researcher";"Главный научный сотрудник";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Доцент (PhD)";"Прикладжного программирования";"4";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Младший научный сотрудник (Junior Researcher)";"Прикладжного программирования";"5";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат сельскохозяйственных наук";"Corresponding member";"Заведующий НИЛ";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат сельскохозяйственных наук";"Associate Professor";"Старший преподаватель";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Магистрант (Masster)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Магистрант (Masster)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор политических наук";"Professor";"Ректор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат химических наук";"Член-корреспондент";"Заведующий отделением";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"English";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Профессор (Professor)";"Прикладжного программирования";"4";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Докторант (Doctoral Student)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"ggg";"ggg";"ggg";"Доктор медицинских наук";"Ведущий научный сотрудник";"Доцент";"wewefdew";"fefwef";"wef";"";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат медицинских наук";"Junior Researcher";"Заведующий отделом";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Содержит собственные результаты исследования"
"русский";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Магистрант (Masster)";"Прикладжного программирования";"3";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Преподаватель (Lecturer)";"Прикладжного программирования";"2";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор филологических наук";"Доцент";"Заведующий отделением";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"";"";"";"Кандидат медицинских наук";"Академик";"Заведующий кафедрой";"";"";"";"";"";"Внутренние болезни/Internal Diseases";"Публикация тезисов";"Реферативный доклад"
"русский";"Название";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Докторант (Doctoral Student)";"Прикладжного программирования";"2";"ex@mail.ru";"375331112233";"Фамилия";"Имя";"Отчество";"1990-10-02";"Гомель";"Республика Беларусь";"Бел Гос Универ";"БГУ";"Аспирант (Postgraduate)";"Прикладжного программирования";"5";"ex@mail.ru";"375331112233";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Кандидат экономических наук";"Academician";"Профессор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"ФамилияРуководителя";"ИмяРуководителя";"ОтчествоРуководителя";"Доктор психологических наук";"Профессор";"Проректор";"Бел Гос Универ Инф и Радиоэл";"Прогр обесп инф техн";"Минск";"boss@mail.ru";"";"Внутренние болезни/Internal Diseases";"Мультимедия  + публикация тезисов";"Реферативный доклад"
